amount,dataset,date,longitude,latitude
8,CBERS4_AWFI_L4_SR,2017-03-28,-57.0,1.0
8,CBERS4_AWFI_L4_SR,2017-03-29,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2017-03-30,-41.0,-4.5
6,CBERS4_AWFI_L4_SR,2017-03-31,-58.5,-9.5
8,CBERS4_AWFI_L4_SR,2017-04-01,-48.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-04-02,-40.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-03,-55.0,1.0
8,CBERS4_AWFI_L4_SR,2017-04-04,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-04-05,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-04-06,-55.5,-4.5
10,CBERS4_AWFI_L4_SR,2017-04-07,-46.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-04-08,-38.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-04-09,-54.5,-4.0
10,CBERS4_AWFI_L4_SR,2017-04-10,-45.5,-4.5
10,CBERS4_AWFI_L4_SR,2017-04-11,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-12,-52.0,1.0
9,CBERS4_AWFI_L4_SR,2017-04-13,-44.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-04-14,-36.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-15,-51.0,1.0
10,CBERS4_AWFI_L4_SR,2017-04-16,-43.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-04-17,-35.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-18,-50.0,1.0
12,CBERS4_AWFI_L4_SR,2017-04-19,-42.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-20,-35.0,-9.5
9,CBERS4_AWFI_L4_SR,2017-04-21,-49.0,1.0
13,CBERS4_AWFI_L4_SR,2017-04-22,-42.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-23,-57.0,1.0
10,CBERS4_AWFI_L4_SR,2017-04-24,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2017-04-25,-41.0,-4.5
